Disease,Symptoms,Precautions
Influenza (Flu),"Fever, cough, sore throat, runny or stuffy nose, body aches, headaches, fatigue","Get vaccinated, wash hands frequently, avoid close contact with sick individuals, cover your mouth and nose with a tissue when coughing or sneezing"
COVID-19,"Fever, cough, difficulty breathing, loss of taste or smell, fatigue, body aches, sore throat","Get vaccinated, wear a mask, practice social distancing, wash hands frequently, avoid crowded places"
Diabetes,"Increased thirst, frequent urination, extreme fatigue, blurry vision, slow-healing sores","Maintain a healthy diet, exercise regularly, monitor blood sugar levels, take prescribed medications"
Hypertension (High Blood Pressure),"Often asymptomatic, but may include headaches, shortness of breath, nosebleeds","Eat a balanced diet low in salt, exercise regularly, maintain a healthy weight, limit alcohol intake, avoid smoking"
Asthma,"Shortness of breath, chest tightness, wheezing, coughing","Avoid allergens, use prescribed inhalers, avoid smoking, monitor your breathing, exercise regularly"
Chickenpox,"Itchy rash, fever, tiredness, loss of appetite, headache","Get vaccinated, avoid contact with infected individuals, maintain good hygiene"
Malaria,"Fever, chills, headache, nausea, vomiting, muscle pain","Use insect repellent, sleep under mosquito nets, take antimalarial medications, avoid areas with high malaria prevalence"
Tuberculosis (TB),"Persistent cough, chest pain, coughing up blood, weight loss, fatigue, fever, night sweats","Get vaccinated, avoid close contact with TB patients, ensure proper ventilation in living spaces, take prescribed medications"
Hepatitis B,"Fatigue, fever, nausea, vomiting, abdominal pain, dark urine, jaundice","Get vaccinated, avoid sharing needles, practice safe sex, avoid contact with infected blood"
Dengue Fever,"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash, bleeding","Use mosquito repellent, wear long-sleeved clothing, ensure there is no standing water around living areas, use mosquito nets"
HIV/AIDS,"Fever, chills, rash, night sweats, muscle aches, sore throat, fatigue, swollen lymph nodes","Practice safe sex, avoid sharing needles, get tested regularly, take pre-exposure prophylaxis (PrEP) if at high risk"
Ebola Virus Disease,"Fever, severe headache, muscle pain, weakness, fatigue, diarrhea, vomiting, abdominal pain, unexplained hemorrhage","Avoid contact with blood and bodily fluids of infected individuals, avoid handling items that may have come in contact with an infected person's blood or body fluids, practice good hygiene"
Measles,"High fever, cough, runny nose, red and watery eyes, rash, Koplik's spots inside the mouth","Get vaccinated, avoid contact with infected individuals, practice good hygiene"
Rabies,"Fever, headache, excess salivation, muscle spasms, paralysis, mental confusion","Get vaccinated if at risk, avoid contact with wild animals, ensure pets are vaccinated, seek immediate medical attention after a potential exposure"
Lyme Disease,"Fever, chills, headache, fatigue, muscle and joint aches, swollen lymph nodes, erythema migrans (EM) rash","Use insect repellent, wear long-sleeved clothing, avoid wooded and bushy areas with high grass, perform tick checks after outdoor activities"
Cholera,"Watery diarrhea, vomiting, leg cramps, dehydration, shock in severe cases","Drink and use safe water, wash hands with soap and water, use latrines or bury feces, cook food well, keep food covered"
Zika Virus,"Fever, rash, headache, joint pain, red eyes, muscle pain","Use insect repellent, wear long-sleeved clothing, stay in places with air conditioning or that use window and door screens, avoid travel to areas with Zika outbreaks if pregnant"
Meningitis,"Sudden high fever, stiff neck, severe headache, nausea, vomiting, sensitivity to light, confusion","Get vaccinated, practice good hygiene, avoid close contact with infected individuals, avoid sharing eating or drinking utensils"
Typhoid Fever,"Sustained high fever, weakness, stomach pain, headache, diarrhea or constipation, rash","Drink and use safe water, wash hands with soap and water, eat foods that are thoroughly cooked, get vaccinated if traveling to high-risk areas"
Chikungunya,"Fever, joint pain, headache, muscle pain, joint swelling, rash","Use mosquito repellent, wear long-sleeved clothing, stay in well-screened or air-conditioned areas, eliminate standing water where mosquitoes breed"
Polio,"Fever, sore throat, headache, vomiting, fatigue, back pain or stiffness, neck pain or stiffness, pain or stiffness in the arms or legs, muscle weakness or tenderness","Get vaccinated, practice good hygiene, avoid areas with polio outbreaks"
Tetanus,"Jaw cramping, sudden involuntary muscle tightening (muscle spasms), painful muscle stiffness, trouble swallowing, seizures, headache, fever, sweating, changes in blood pressure and heart rate","Get vaccinated, clean wounds thoroughly, seek medical attention for deep or dirty wounds"
Yellow Fever,"Fever, headache, jaundice, muscle pain, nausea, vomiting, fatigue","Get vaccinated, use mosquito repellent, wear long-sleeved clothing, stay in well-screened or air-conditioned areas"
Mumps,"Swollen and painful salivary glands, fever, headache, muscle aches, tiredness, loss of appetite","Get vaccinated, avoid contact with infected individuals, practice good hygiene"
Whooping Cough (Pertussis),"Severe coughing fits, vomiting after coughing, exhaustion after coughing fits, whooping sound during inhalation","Get vaccinated, avoid contact with infected individuals, practice good hygiene"
Legionnaires' Disease,"Cough, shortness of breath, fever, muscle aches, headaches","Maintain and clean water systems, avoid smoking, avoid hot tubs and spas with inadequate sanitation"
Anthrax,"Skin sores (cutaneous anthrax), fever, chills, chest discomfort, shortness of breath, confusion, dizziness, cough, nausea, vomiting, stomach pains (inhalation anthrax)","Avoid contact with infected animals or contaminated animal products, use protective clothing when handling potentially infected animals or products, get vaccinated if at risk"
